BlockId,Predicted_Label,Features,TimeInterval,Latency
blk_8913625021274048408,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E23', 'E23', 'E23', 'E21', 'E21', 'E20', 'E21']","[0.0, 0.0, 0.0, 37.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10933.0, 0.0, 0.0, 47.0, 132.0, 2.0, 129.0]",11280
blk_7979567467354613544,Fail,"['E5', 'E22', 'E5', 'E5', 'E11', 'E9', 'E9', 'E26', 'E11', 'E9', 'E11', 'E26', 'E26', 'E23', 'E23', 'E23', 'E21', 'E21', 'E20', 'E21']","[0.0, 4.0, 0.0, 42.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 20546.0, 0.0, 0.0, 146.0, 93.0, 64.0, 38.0]",20934
blk_3102755127307027778,Fail,"['E5', 'E22', 'E5', 'E7']","[0.0, 1.0, 4.0]",5
blk_8520238754901860870,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E3', 'E4', 'E3', 'E3', 'E3', 'E4', 'E23', 'E23', 'E23', 'E21', 'E21', 'E20', 'E21']","[0.0, 0.0, 0.0, 52.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23485.0, 156.0, 56.0, 24815.0, 28.0, 111.0, 2472.0, 0.0, 0.0, 28.0, 122.0, 3.0, 19.0]",51347
blk_914037884560970251,Fail,"['E5', 'E22']",[0.0],0
blk_7914065564896525036,Fail,"['E5', 'E22']",[0.0],0
blk_-51690669527143885,Fail,"['E5', 'E5', 'E22', 'E5', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E25', 'E18', 'E5', 'E16', 'E6', 'E26', 'E26', 'E21', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[0.0, 0.0, 1.0, 38.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7347.0, 26.0, 0.0, 41.0, 0.0, 0.0, 1078.0, 9.0, 1952.0, 0.0, 0.0, 126.0, 35.0, 21.0]",10674
blk_1617797730093115295,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E18', 'E25', 'E5', 'E26', 'E6', 'E16', 'E26', 'E21', 'E25', 'E18', 'E5', 'E6', 'E16', 'E26', 'E26', 'E21', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[0.0, 0.0, 0.0, 229.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 320.0, 0.0, 1.0, 30.0, 13.0, 0.0, 0.0, 4.0, 3657.0, 2.0, 0.0, 31.0, 0.0, 0.0, 233.0, 7.0, 2696.0, 0.0, 0.0, 166.0, 4.0, 877.0]",8271
blk_-1879924334849474510,Fail,"['E22', 'E5', 'E5', 'E7']","[0.0, 0.0, 4.0]",4
blk_8845925035435653416,Fail,"['E5', 'E22', 'E5', 'E5', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E4', 'E4', 'E3', 'E23', 'E23', 'E23', 'E21', 'E20', 'E21', 'E21']","[0.0, 1.0, 0.0, 35.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4354.0, 54.0, 46.0, 43764.0, 0.0, 0.0, 15.0, 369.0, 10.0, 61.0]",48710
blk_8475316634395873384,Fail,"['E22', 'E5', 'E5', 'E5', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E4', 'E4', 'E3', 'E2', 'E23', 'E23', 'E23', 'E21', 'E20', 'E21', 'E21']","[1.0, 0.0, 0.0, 32.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3940.0, 1.0, 23.0, 19392.0, 24821.0, 0.0, 0.0, 54.0, 294.0, 59.0, 33.0]",48650
blk_8508961413064452083,Fail,"['E22', 'E5', 'E5', 'E5', 'E26', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E4', 'E3', 'E4', 'E23', 'E23', 'E23', 'E21', 'E21', 'E20', 'E21']","[0.0, 0.0, 0.0, 55.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7085.0, 76.0, 1010.0, 27576.0, 0.0, 0.0, 38.0, 237.0, 14.0, 24.0]",36115
blk_4080768172434277713,Fail,"['E22', 'E5']",[1.0],1
